filename, language, JSON, Ignore, Properties, Markdown, YAML, JavaScript, HTML, Vue, CSS, comment, blank, total
domServer\app\Models\Luminosity.js, JavaScript, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 4, 10
domServer\app\Models\Scenario.js, JavaScript, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 4, 10
domServer\app\Models\Setting.js, JavaScript, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 4, 10
domServer\app\Models\Temperature.js, JavaScript, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 4, 10
domServer\app\Models\Token.js, JavaScript, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 4, 10
domServer\app\Models\Traits\NoTimestamp.js, JavaScript, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
domServer\app\Models\User.js, JavaScript, 0, 0, 0, 0, 0, 17, 0, 0, 0, 16, 7, 40
domServer\app\Services\AlarmService.js, JavaScript, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 7, 32
domServer\app\Services\HeaterService.js, JavaScript, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 10, 27
domServer\app\Services\LightService.js, JavaScript, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 13, 47
domServer\app\Services\SerialService.js, JavaScript, 0, 0, 0, 0, 0, 50, 0, 0, 0, 1, 11, 62
domServer\app\Services\TcpServer.js, JavaScript, 0, 0, 0, 0, 0, 106, 0, 0, 0, 3, 24, 133
domServer\app\Tasks\Scenario.js, JavaScript, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 10, 64
domServer\config\app.js, JavaScript, 0, 0, 0, 0, 0, 45, 0, 0, 0, 177, 22, 244
domServer\config\auth.js, JavaScript, 0, 0, 0, 0, 0, 36, 0, 0, 0, 52, 7, 95
domServer\config\bodyParser.js, JavaScript, 0, 0, 0, 0, 0, 29, 0, 0, 0, 119, 10, 158
domServer\config\cors.js, JavaScript, 0, 0, 0, 0, 0, 9, 0, 0, 0, 72, 7, 88
domServer\config\database.js, JavaScript, 0, 0, 0, 0, 0, 36, 0, 0, 0, 42, 7, 85
domServer\config\hash.js, JavaScript, 0, 0, 0, 0, 0, 11, 0, 0, 0, 34, 5, 50
domServer\config\tcpServer.js, JavaScript, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
domServer\database\factory.js, JavaScript, 0, 0, 0, 0, 0, 1, 0, 0, 0, 17, 4, 22
domServer\database\migrations\1503250034279_user.js, JavaScript, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 5, 23
domServer\database\migrations\1503250034280_token.js, JavaScript, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
domServer\database\migrations\1548422706175_temperature_schema.js, JavaScript, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 5, 21
domServer\database\migrations\1552635275184_humidity_schema.js, JavaScript, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 5, 21
domServer\database\migrations\1552636375177_luminosity_schema.js, JavaScript, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 5, 21
domServer\database\migrations\1552979825299_light_schema.js, JavaScript, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 5, 22
domServer\database\migrations\1554465365668_setting_schema.js, JavaScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 5, 25
domServer\database\migrations\1555420078437_alarm_schema.js, JavaScript, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 5, 21
domServer\database\migrations\1555490483788_scenario_schema.js, JavaScript, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 5, 26
domServer\package-lock.json, JSON, 3973, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3974
domServer\package.json, JSON, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
domServer\server.js, JavaScript, 0, 0, 0, 0, 0, 6, 0, 0, 0, 16, 4, 26
domServer\start\app.js, JavaScript, 0, 0, 0, 0, 0, 18, 0, 0, 0, 39, 6, 63
domServer\start\hooks.js, JavaScript, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
domServer\start\kernel.js, JavaScript, 0, 0, 0, 0, 0, 19, 0, 0, 0, 46, 7, 72
domServer\start\routes.js, JavaScript, 0, 0, 0, 0, 0, 59, 0, 0, 0, 12, 16, 87
Total, -, 4109, 14, 10, 31, 58, 1686, 23, 1153, 55, 861, 700, 8700
